å	á	f	
flod	á	f	
elv	á	f	
stand	fáa	x	
fange	fáa	x	
have	fáa	x	
uagtsomhed	misgáa	x	
fejltagelse	misgáa	x	
biflod	hjáá	x	
le	læa	x	
give	læa	x	
ble	blæa	x	
blåne	bláa	x	
slå	sláa	x	
mule	sláa	x	
klø	sláa	x	
slide	máa	x	
vinde	náa	x	
frø	fræa	x	
stræbe	tráa	x	
længes	tráa	x	
rad	raðsáa	x	
skylle	tváa	x	
ren	tváa	x	
djellaba	djellaba	x	
farmand	babba	m	
fader	babba	m	
okse	sjabba	x	
trisse	sjabba	x	
slide	slabba		
okse	slabba		
fader	pabba	m	
bølge	drabba		
tå	bibba	f	
pik	bobba		
pik	bubba	f	
kappe	kubba		
snøre	rubba		
krybbe	krubba	f	
hæk	krubba	f	
gulvskrubbe	skrubba	f	
skure	skrubba	f	
mand	palliba		
kolbe	kolba	f	
gambe	gamba	f	
jambe	jamba	f	
dityrambe	dityramba	f	
stræbe	stremba	f	
kæmpe	stremba	f	
marimba	marimba	f	
katakombe	katakomba	f	
plombe	plomba	f	
blåstak	blátomba	f	
rødnæb	reyðtomba	f	
bombe	bumba	f	
brandbombe	eldbumba	f	
stinkbombe	stinkbumba	f	
røgbombe	roykbumba	f	
bilbombe	bilbumba	f	
atombombe	atombumba	f	
krysantemumbombe	krysantemumbumba	f	
neutronbombe	neutronbumba	f	
dybvandsbombe	dýpdarbumba	f	
helvedesmaskine	tíðarbumba	f	
helvedesmaskine	helvitisbumba	f	
dybvandsbombe	djúpvatnsbumba	f	
brintbombe	brintbumba	f	
atombombe	kjarnorkubumba	f	
brevbombe	brævbumba	f	
sexbombe	sexbumba	f	
bordbombe	borðbumba	f	
guldplombe	gullplumba	f	
mikrobe	mikroba	f	
rabarber	rabarba	f	
tuba	tuba	f	
lambada	lambada	f	
brigade	brigada	f	
olympiade	olympiada	f	
kavalkade	kavalkada	f	
blokade	blokada	f	
brokade	brokada	f	
krokade	krokada	f	
serenade	serenada	f	
karbonade	karbonada	f	
lemonade	limonada	f	
limonade	limonada	f	
robinsonade	robinsonada	f	
parade	parada	f	
